Имя; Описание; Тип
ES1; ES1; BACnet
FC; FC; BACnet
HC; HC; BACnet
ITP; ITP; BACnet
LAB; LAB; BACnet
LAB2; LAB2; BACnet
LABAlm; LABAlm; Citect
OV5; OV5; BACnet
OV6; OV6; BACnet
VK; VK; BACnet
